Player_Name,X1,Y1
Vincent Kompany,114,168
Vincent Kompany,162,216
Vincent Kompany,114,284
Vincent Kompany,252,236
Vincent Kompany,186,128
Vincent Kompany,246,116
Vincent Kompany,90,68
Vincent Kompany,204,172
Vincent Kompany,288,180
Vincent Kompany,312,200
Vincent Kompany,108,228
Vincent Kompany,168,184
Vincent Kompany,72,124
Vincent Kompany,228,92
Vincent Kompany,204,84
Vincent Kompany,66,232
Vincent Kompany,52,160
Vincent Kompany,54,240
Vincent Kompany,282,192
Vincent Kompany,204,128
Vincent Kompany,114,128
Vincent Kompany,102,92
Vincent Kompany,252,48
Vincent Kompany,72,160
Vincent Kompany,402,108
Vincent Kompany,246,96
Vincent Kompany,54,184
Vincent Kompany,114,164
Vincent Kompany,186,176
Vincent Kompany,216,200
Vincent Kompany,204,132
Vincent Kompany,216,76
Vincent Kompany,204,160
Vincent Kompany,64,132
Vincent Kompany,198,184
Vincent Kompany,198,164
Vincent Kompany,42,164
Vincent Kompany,168,244
Vincent Kompany,180,272
Vincent Kompany,270,180
Vincent Kompany,204,284
Vincent Kompany,192,228
Vincent Kompany,126,272
Vincent Kompany,192,276
Vincent Kompany,552,240
Vincent Kompany,168,184
Vincent Kompany,210,184
Vincent Kompany,60,228
Vincent Kompany,174,292
Vincent Kompany,186,272
Vincent Kompany,54,140
Vincent Kompany,54,200
Vincent Kompany,84,164
Vincent Kompany,162,272
Vincent Kompany,174,276
Vincent Kompany,156,180
Vincent Kompany,132,184
Vincent Kompany,180,276
Vincent Kompany,174,228
Vincent Kompany,156,220
Vincent Kompany,156,228
Vincent Kompany,246,228Player_Name,X1,Y1
Jan Vertonghen,180,88
Vincent Kompany,114,168
Toby Alderweireld,120,344
Toby Alderweireld,258,340
Thomas Meunier,288,340
Toby Alderweireld,222,344
Vincent Kompany,162,216
Jan Vertonghen,162,92
Toby Alderweireld,126,344
Jan Vertonghen,174,132
Thomas Meunier,144,324
Thomas Meunier,198,324
Thomas Meunier,222,332
Jan Vertonghen,58,60
Danny Rose,384,84
