Event_Id,Event_Name,Sub_Event_Name,Event_Tag,Event_position,Event_Team,Event Sec,Sec_Before_Goal,X,Y,Match_Label,Match_Period,Match_Winner,Player_Name,Player_Role,Player_Goals_Scored,Player_Role_Calculated
263884349,Pass,Simple pass,Not accurate,1,Croatia,1498.723746,180.125194,33,46,France - Croatia. 4 - 2,1H,France,Ivan Strinic,Defender,0,left MF
263884349,Pass,Simple pass,Not accurate,2,Croatia,1498.723746,180.125194,41,8,France - Croatia. 4 - 2,1H,France,Ivan Strinic,Defender,0,left MF
263884339,Pass,Launch,Not accurate,1,France,1501.306752,177.542188,59,92,France - Croatia. 4 - 2,1H,France,Benjamin Pavard,Defender,0,right MF
263884339,Pass,Launch,Not accurate,2,France,1501.306752,177.542188,74,63,France - Croatia. 4 - 2,1H,France,Benjamin Pavard,Defender,0,right MF
263884352,Pass,Head pass,Accurate,1,Croatia,1506.848227,172.000713,26,37,France - Croatia. 4 - 2,1H,France,Domagoj Vida,Defender,0,left CB
263884352,Pass,Head pass,Accurate,2,Croatia,1506.848227,172.000713,25,52,France - Croatia. 4 - 2,1H,France,Domagoj Vida,Defender,0,left CB
263884353,Pass,Simple pass,Accurate,1,Croatia,1508.479631,170.369309,25,52,France - Croatia. 4 - 2,1H,France,Marcelo Brozovic,Midfielder,0,central MF
263884353,Pass,Simple pass,Accurate,2,Croatia,1508.479631,170.369309,27,87,France - Croatia. 4 - 2,1H,France,Marcelo Brozovic,Midfielder,0,central MF
263884355,Pass,High pass,Not accurate,1,Croatia,1511.285598,167.563342,27,87,France - Croatia. 4 - 2,1H,France,Sime Vrsaljko,Defender,0,right MF
263884355,Pass,High pass,Not accurate,2,Croatia,1511.285598,167.563342,67,82,France - Croatia. 4 - 2,1H,France,Sime Vrsaljko,Defender,0,right MF
263884346,Pass,High pass,Interception,1,France,1514.992703,163.856237,33,18,France - Croatia. 4 - 2,1H,France,Samuel Yves Umtiti,Defender,0,left CB
263884346,Pass,High pass,Interception,2,France,1514.992703,163.856237,67,14,France - Croatia. 4 - 2,1H,France,Samuel Yves Umtiti,Defender,0,left CB
263884346,Pass,High pass,Accurate,1,France,1514.992703,163.856237,33,18,France - Croatia. 4 - 2,1H,France,Samuel Yves Umtiti,Defender,0,left CB
263884346,Pass,High pass,Accurate,2,France,1514.992703,163.856237,67,14,France - Croatia. 4 - 2,1H,France,Samuel Yves Umtiti,Defender,0,left CB
263884347,Pass,Head pass,Not accurate,1,France,1517.052463,161.796477,67,14,France - Croatia. 4 - 2,1H,France,Olivier Giroud,Forward,0,central FW
263884347,Pass,Head pass,Not accurate,2,France,1517.052463,161.796477,62,20,France - Croatia. 4 - 2,1H,France,Olivier Giroud,Forward,0,central FW
263884357,Others on the ball,Touch,Missed ball,1,Croatia,1517.13805,161.71089,38,80,France - Croatia. 4 - 2,1H,France,Luka Modric,Midfielder,0,central MF-right FW
263884357,Others on the ball,Touch,Missed ball,2,Croatia,1517.13805,161.71089,32,80,France - Croatia. 4 - 2,1H,France,Luka Modric,Midfielder,0,central MF-right FW
263884454,Duel,Air duel,Lost,1,France,1518.672493,160.176447,68,20,France - Croatia. 4 - 2,1H,France,Blaise Matuidi,Midfielder,0,left MF
263884454,Duel,Air duel,Lost,2,France,1518.672493,160.176447,54,0,France - Croatia. 4 - 2,1H,France,Blaise Matuidi,Midfielder,0,left MF
263884454,Duel,Air duel,Not accurate,1,France,1518.672493,160.176447,68,20,France - Croatia. 4 - 2,1H,France,Blaise Matuidi,Midfielder,0,left MF
263884454,Duel,Air duel,Not accurate,2,France,1518.672493,160.176447,54,0,France - Croatia. 4 - 2,1H,France,Blaise Matuidi,Midfielder,0,left MF
263884546,Duel,Air duel,Won,1,Croatia,1518.672493,160.176447,32,80,France - Croatia. 4 - 2,1H,France,Marcelo Brozovic,Midfielder,0,central MF
263884546,Duel,Air duel,Won,2,Croatia,1518.672493,160.176447,46,100,France - Croatia. 4 - 2,1H,France,Marcelo Brozovic,Midfielder,0,central MF
263884546,Duel,Air duel,Accurate,1,Croatia,1518.672493,160.176447,32,80,France - Croatia. 4 - 2,1H,France,Marcelo Brozovic,Midfielder,0,central MF
263884546,Duel,Air duel,Accurate,2,Croatia,1518.672493,160.176447,46,100,France - Croatia. 4 - 2,1H,France,Marcelo Brozovic,Midfielder,0,central MF
263884360,Pass,Simple pass,Not accurate,1,France,1537.822383,141.026557,30,58,France - Croatia. 4 - 2,1H,France,Raphael Varane,Defender,0,right CB
263884360,Pass,Simple pass,Not accurate,2,France,1537.822383,141.026557,30,9,France - Croatia. 4 - 2,1H,France,Raphael Varane,Defender,0,right CB
263884366,Others on the ball,Touch,Interception,1,Croatia,1540.699157,138.149783,70,91,France - Croatia. 4 - 2,1H,France,Mario Mandzukic,Forward,1,central FW
263884366,Others on the ball,Touch,Interception,2,Croatia,1540.699157,138.149783,72,93,France - Croatia. 4 - 2,1H,France,Mario Mandzukic,Forward,1,central FW
263884362,Pass,High pass,Not accurate,1,France,1540.915588,137.933352,28,7,France - Croatia. 4 - 2,1H,France,Samuel Yves Umtiti,Defender,0,left CB
263884362,Pass,High pass,Not accurate,2,France,1540.915588,137.933352,29,0,France - Croatia. 4 - 2,1H,France,Samuel Yves Umtiti,Defender,0,left CB
263884365,Free Kick,Throw in,Accurate,1,France,1559.964868,118.884072,31,0,France - Croatia. 4 - 2,1H,France,Lucas  Hernandez Pi,Defender,0,left MF
