Event_Id,Event_Name,Sub_Event_Name,Event_Tag,Event_position,Event_Team,Event Sec,Sec_Before_Goal,X,Y,Match_Label,Match_Period,Match_Winner,Player_Name,Player_Role,Player_Goals_Scored,Player_Role_Calculated
263885061,Free Kick,Throw in,Accurate,1,France,1008.353856,170.693084,78,100,France - Croatia. 4 - 2,2H,France,Benjamin Pavard,Defender,0,right MF
263885061,Free Kick,Throw in,Accurate,2,France,1008.353856,170.693084,88,92,France - Croatia. 4 - 2,2H,France,Benjamin Pavard,Defender,0,right MF
263885058,Duel,Ground loose ball duel,Won,1,France,1011.128414,167.918526,88,92,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885058,Duel,Ground loose ball duel,Won,2,France,1011.128414,167.918526,87,96,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885058,Duel,Ground loose ball duel,Accurate,1,France,1011.128414,167.918526,88,92,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885058,Duel,Ground loose ball duel,Accurate,2,France,1011.128414,167.918526,87,96,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885722,Duel,Ground loose ball duel,Lost,1,Croatia,1011.128414,167.918526,12,8,France - Croatia. 4 - 2,2H,France,Ante Rebic,Forward,0,central FW
263885722,Duel,Ground loose ball duel,Lost,2,Croatia,1011.128414,167.918526,13,4,France - Croatia. 4 - 2,2H,France,Ante Rebic,Forward,0,central FW
263885722,Duel,Ground loose ball duel,Not accurate,1,Croatia,1011.128414,167.918526,12,8,France - Croatia. 4 - 2,2H,France,Ante Rebic,Forward,0,central FW
263885722,Duel,Ground loose ball duel,Not accurate,2,Croatia,1011.128414,167.918526,13,4,France - Croatia. 4 - 2,2H,France,Ante Rebic,Forward,0,central FW
263885065,Pass,Simple pass,Accurate,1,France,1011.43764,167.6093,87,96,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885065,Pass,Simple pass,Accurate,2,France,1011.43764,167.6093,82,95,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885066,Pass,Head pass,Accurate,1,France,1012.575359,166.471581,82,95,France - Croatia. 4 - 2,2H,France,Benjamin Pavard,Defender,0,right MF
263885066,Pass,Head pass,Accurate,2,France,1012.575359,166.471581,92,95,France - Croatia. 4 - 2,2H,France,Benjamin Pavard,Defender,0,right MF
263885074,Duel,Ground attacking duel,Anticipation,1,France,1013.245754,165.801186,92,95,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
263885074,Duel,Ground attacking duel,Anticipation,2,France,1013.245754,165.801186,94,90,France - Croatia. 4 - 2,2H,France,Olivier Giroud,Forward,0,central FW
