Event_Id,Event_Name,Sub_Event_Name,Event_Tag,Event_position,Event_Team,Event Sec,Sec_Before_Goal,X,Y,Match_Label,Match_Period,Match_Winner,Player_Name,Player_Role,Player_Goals_Scored,Player_Role_Calculated
263885172,Pass,Simple pass,Accurate,1,Croatia,1266.793426,126.241714,26,64,France - Croatia. 4 - 2,2H,France,Dejan Lovren,Defender,0,right CB
263885172,Pass,Simple pass,Accurate,2,Croatia,1266.793426,126.241714,33,51,France - Croatia. 4 - 2,2H,France,Dejan Lovren,Defender,0,right CB
263885174,Pass,Simple pass,Accurate,1,Croatia,1267.468874,125.566266,33,51,France - Croatia. 4 - 2,2H,France,Marcelo Brozovic,Midfielder,0,central MF
263885174,Pass,Simple pass,Accurate,2,Croatia,1267.468874,125.566266,39,70,France - Croatia. 4 - 2,2H,France,Marcelo Brozovic,Midfielder,0,central MF
263885177,Pass,Simple pass,Accurate,1,Croatia,1268.590599,124.444541,39,70,France - Croatia. 4 - 2,2H,France,Luka Modric,Midfielder,0,central MF-right FW
263885177,Pass,Simple pass,Accurate,2,Croatia,1268.590599,124.444541,42,60,France - Croatia. 4 - 2,2H,France,Luka Modric,Midfielder,0,central MF-right FW
263885179,Pass,Simple pass,Accurate,1,Croatia,1270.730289,122.304851,42,60,France - Croatia. 4 - 2,2H,France,Marcelo Brozovic,Midfielder,0,central MF
263885179,Pass,Simple pass,Accurate,2,Croatia,1270.730289,122.304851,51,87,France - Croatia. 4 - 2,2H,France,Marcelo Brozovic,Midfielder,0,central MF
263885184,Others on the ball,Acceleration,Accurate,1,Croatia,1271.455041,121.580099,51,87,France - Croatia. 4 - 2,2H,France,Sime Vrsaljko,Defender,0,right MF
263885184,Others on the ball,Acceleration,Accurate,2,Croatia,1271.455041,121.580099,73,56,France - Croatia. 4 - 2,2H,France,Sime Vrsaljko,Defender,0,right MF
