Event_Id,Event_Name,Sub_Event_Name,Event_Tag,Event_position,Event_Team,Event Sec,Sec_Before_Goal,X,Y,Match_Label,Match_Period,Match_Winner,Player_Name,Player_Role,Player_Goals_Scored,Player_Role_Calculated
263156159,Pass,Simple pass,Accurate,1,Croatia,5.648953,179.362439,40,73,Croatia - England. 2 - 1 (E),E2,Croatia,Luka Modric,Midfielder,0,central MF
263156159,Pass,Simple pass,Accurate,2,Croatia,5.648953,179.362439,49,97,Croatia - England. 2 - 1 (E),E2,Croatia,Luka Modric,Midfielder,0,central MF
263156160,Pass,Simple pass,Not accurate,1,Croatia,8.541187,176.470205,49,97,Croatia - England. 2 - 1 (E),E2,Croatia,Sime Vrsaljko,Defender,0,right MF
263156160,Pass,Simple pass,Not accurate,2,Croatia,8.541187,176.470205,73,69,Croatia - England. 2 - 1 (E),E2,Croatia,Sime Vrsaljko,Defender,0,right MF
263155850,Pass,Simple pass,Accurate,1,England,11.598777,173.412615,27,31,Croatia - England. 2 - 1 (E),E2,Croatia,John Stones,Defender,0,right CB
263155850,Pass,Simple pass,Accurate,2,England,11.598777,173.412615,31,32,Croatia - England. 2 - 1 (E),E2,Croatia,John Stones,Defender,0,right CB
263155852,Pass,Simple pass,Accurate,1,England,12.513759,172.497633,31,32,Croatia - England. 2 - 1 (E),E2,Croatia,Eric  Dier,Midfielder,0,right CB
263155852,Pass,Simple pass,Accurate,2,England,12.513759,172.497633,29,44,Croatia - England. 2 - 1 (E),E2,Croatia,Eric  Dier,Midfielder,0,right CB
263155853,Pass,Simple pass,Accurate,1,England,13.180401,171.830991,29,44,Croatia - England. 2 - 1 (E),E2,Croatia,John Stones,Defender,0,right CB
263155853,Pass,Simple pass,Accurate,2,England,13.180401,171.830991,31,6,Croatia - England. 2 - 1 (E),E2,Croatia,John Stones,Defender,0,right CB
263155854,Pass,Simple pass,Not accurate,1,England,17.2742,167.737192,31,6,Croatia - England. 2 - 1 (E),E2,Croatia,Danny Rose,Defender,0,left MF
263155854,Pass,Simple pass,Not accurate,2,England,17.2742,167.737192,90,9,Croatia - England. 2 - 1 (E),E2,Croatia,Danny Rose,Defender,0,left MF
263156163,Pass,Simple pass,Accurate,1,Croatia,21.269884,163.741508,10,91,Croatia - England. 2 - 1 (E),E2,Croatia,Dejan Lovren,Defender,0,right CB
263156163,Pass,Simple pass,Accurate,2,Croatia,21.269884,163.741508,4,45,Croatia - England. 2 - 1 (E),E2,Croatia,Dejan Lovren,Defender,0,right CB
263156164,Others on the ball,Clearance,Not accurate,1,Croatia,24.539251,160.472141,4,45,Croatia - England. 2 - 1 (E),E2,Croatia,Danijel Subasic,Goalkeeper,0,Goalkeeper
263156164,Others on the ball,Clearance,Not accurate,2,Croatia,24.539251,160.472141,42,0,Croatia - England. 2 - 1 (E),E2,Croatia,Danijel Subasic,Goalkeeper,0,Goalkeeper
263155858,Free Kick,Throw in,Accurate,1,England,32.48882,152.522572,32,100,Croatia - England. 2 - 1 (E),E2,Croatia,Kieran Trippier,Defender,1,right MF
263155858,Free Kick,Throw in,Accurate,2,England,32.48882,152.522572,29,87,Croatia - England. 2 - 1 (E),E2,Croatia,Kieran Trippier,Defender,1,right MF
263155860,Pass,Simple pass,Accurate,1,England,36.625803,148.385589,29,87,Croatia - England. 2 - 1 (E),E2,Croatia,Kyle Walker,Defender,0,right CB
263155860,Pass,Simple pass,Accurate,2,England,36.625803,148.385589,37,85,Croatia - England. 2 - 1 (E),E2,Croatia,Kyle Walker,Defender,0,right CB
263155861,Pass,Simple pass,Accurate,1,England,39.018681,145.992711,37,85,Croatia - England. 2 - 1 (E),E2,Croatia,Eric  Dier,Midfielder,0,right CB
263155861,Pass,Simple pass,Accurate,2,England,39.018681,145.992711,26,85,Croatia - England. 2 - 1 (E),E2,Croatia,Eric  Dier,Midfielder,0,right CB
263155862,Pass,Simple pass,Accurate,1,England,40.453849,144.557543,26,85,Croatia - England. 2 - 1 (E),E2,Croatia,Kyle Walker,Defender,0,right CB
263155862,Pass,Simple pass,Accurate,2,England,40.453849,144.557543,6,58,Croatia - England. 2 - 1 (E),E2,Croatia,Kyle Walker,Defender,0,right CB
263155863,Pass,Launch,Not accurate,1,England,43.508067,141.503325,6,58,Croatia - England. 2 - 1 (E),E2,Croatia,Jordan Pickford,Goalkeeper,0,Goalkeeper
263155863,Pass,Launch,Not accurate,2,England,43.508067,141.503325,32,100,Croatia - England. 2 - 1 (E),E2,Croatia,Jordan Pickford,Goalkeeper,0,Goalkeeper
263156168,Free Kick,Throw in,Accurate,1,Croatia,54.817331,130.194061,69,0,Croatia - England. 2 - 1 (E),E2,Croatia,Josip Pivaric,Defender,0,left MF
263156168,Free Kick,Throw in,Accurate,2,Croatia,54.817331,130.194061,77,8,Croatia - England. 2 - 1 (E),E2,Croatia,Josip Pivaric,Defender,0,left MF
263156169,Pass,Simple pass,Accurate,1,Croatia,56.390279,128.621113,77,8,Croatia - England. 2 - 1 (E),E2,Croatia,Ivan Rakitic,Midfielder,0,left FW
263156169,Pass,Simple pass,Accurate,2,Croatia,56.390279,128.621113,88,15,Croatia - England. 2 - 1 (E),E2,Croatia,Ivan Rakitic,Midfielder,0,left FW
263156170,Pass,Simple pass,Accurate,1,Croatia,58.515101,126.496291,88,15,Croatia - England. 2 - 1 (E),E2,Croatia,Mario Mandzukic,Forward,1,central FW
263156170,Pass,Simple pass,Accurate,2,Croatia,58.515101,126.496291,95,10,Croatia - England. 2 - 1 (E),E2,Croatia,Mario Mandzukic,Forward,1,central FW
263156172,Pass,Cross,Left foot,1,Croatia,61.558853,123.452539,95,10,Croatia - England. 2 - 1 (E),E2,Croatia,Ivan Rakitic,Midfielder,0,left FW
